crop,x,y,w,h
139,1176,1644,77,77
140,1236,1742,77,77
141,1297,1840,77,77
142,1358,1938,77,77
143,320,70,77,77
144,381,168,77,77
145,442,266,77,77
146,502,364,77,77
147,563,462,77,77
148,624,560,77,77
149,684,659,77,77
150,745,757,77,77
151,806,855,77,77
152,866,953,77,77
153,927,1051,77,77
154,988,1149,77,77
155,1048,1247,77,77
156,1109,1346,77,77
157,1170,1444,77,77
158,1230,1542,77,77
159,1291,1640,77,77
160,1352,1738,77,77
161,1412,1836,77,77
162,1473,1935,77,77
163,436,66,77,77
164,496,164,77,77
165,557,262,77,77
166,618,361,77,77
167,678,459,77,77
168,739,557,77,77
169,800,655,77,77
170,860,753,77,77
171,921,851,77,77
172,982,950,77,77
173,1042,1048,77,77
174,1103,1146,77,77
175,1164,1244,77,77
176,1224,1342,77,77
177,1285,1440,77,77
178,1346,1538,77,77
179,1406,1637,77,77
180,1467,1735,77,77
181,1528,1833,77,77
182,1588,1931,77,77
183,551,63,77,77
184,612,161,77,77
185,672,259,77,77
186,733,357,77,77
187,794,455,77,77
188,854,553,77,77
189,915,652,77,77
190,976,750,77,77
191,1036,848,77,77
192,1097,946,77,77
193,1158,1044,77,77
194,1218,1142,77,77
195,1279,1241,77,77
196,1340,1339,77,77
197,1400,1437,77,77
198,1461,1535,77,77
199,1522,1633,77,77
200,1582,1731,77,77
201,1643,1829,77,77
202,1704,1928,77,77
203,666,59,77,77
204,727,157,77,77
205,788,256,77,77
206,848,354,77,77
207,909,452,77,77
208,970,550,77,77
209,1030,648,77,77
210,1091,746,77,77
211,1152,844,77,77
212,1212,943,77,77
213,1273,1041,77,77
214,1334,1139,77,77
215,1394,1237,77,77
216,1455,1335,77,77
217,1516,1433,77,77
218,1576,1532,77,77
219,1637,1630,77,77
220,1698,1728,77,77
221,1758,1826,77,77
222,1819,1924,77,77
223,782,56,77,77
224,842,154,77,77
225,903,252,77,77
226,964,350,77,77
227,1024,448,77,77
228,1085,547,77,77
229,1146,645,77,77
230,1206,743,77,77
231,1267,841,77,77
232,1328,939,77,77
233,1388,1037,77,77
234,1449,1135,77,77
235,1510,1234,77,77
236,1570,1332,77,77
237,1631,1430,77,77
238,1692,1528,77,77
239,1752,1626,77,77
240,1813,1724,77,77
241,1874,1823,77,77
242,1934,1921,77,77
243,897,52,77,77
244,958,150,77,77
245,1018,249,77,77
246,1079,347,77,77
247,1140,445,77,77
248,1200,543,77,77
249,1261,641,77,77
250,1322,739,77,77
251,1382,838,77,77
252,1443,936,77,77
253,1504,1034,77,77
254,1564,1132,77,77
255,1625,1230,77,77
256,1686,1328,77,77
257,1746,1426,77,77
258,1807,1525,77,77
259,1868,1623,77,77
260,1928,1721,77,77
261,1012,49,77,77
262,1073,147,77,77
263,1134,245,77,77
264,1194,343,77,77
265,1255,441,77,77
266,1316,540,77,77
267,1376,638,77,77
268,1437,736,77,77
269,1498,834,77,77
270,1558,932,77,77
271,1619,1030,77,77
272,1680,1129,77,77
273,1740,1227,77,77
274,1801,1325,77,77
275,1862,1423,77,77
276,1922,1521,77,77
277,1128,45,77,77
278,1188,144,77,77
279,1249,242,77,77
280,1310,340,77,77
281,1370,438,77,77
282,1431,536,77,77
283,1492,634,77,77
284,1552,732,77,77
285,1613,831,77,77
286,1674,929,77,77
287,1734,1027,77,77
288,1795,1125,77,77
289,1856,1223,77,77
290,1916,1321,77,77
291,1243,42,77,77
292,1304,140,77,77
293,1364,238,77,77
294,1425,336,77,77
295,1486,435,77,77
296,1546,533,77,77
297,1607,631,77,77
298,1668,729,77,77
299,1728,827,77,77
300,1789,925,77,77
301,1850,1023,77,77
302,1910,1122,77,77
303,1971,1220,77,77
304,1358,38,77,77
305,1419,137,77,77
306,1480,235,77,77
307,1540,333,77,77
308,1601,431,77,77
309,1662,529,77,77
310,1722,627,77,77
311,1783,726,77,77
312,1844,824,77,77
313,1904,922,77,77
314,1965,1020,77,77
315,1474,35,77,77
316,1534,133,77,77
317,1595,231,77,77
318,1656,329,77,77
319,1716,428,77,77
320,1777,526,77,77
321,1838,624,77,77
322,1898,722,77,77
323,1959,820,77,77
324,1589,32,77,77
325,1650,130,77,77
326,1710,228,77,77
327,1771,326,77,77
328,1832,424,77,77
329,1892,522,77,77
330,1953,620,77,77
331,1704,28,77,77
332,1765,126,77,77
333,1826,224,77,77
334,1886,323,77,77
335,1947,421,77,77
336,1820,25,77,77
337,1880,123,77,77
338,1941,221,77,77
339,1935,21,77,77
