crop,x,y,w,h
283,1850,1299,77,77
284,1911,1397,77,77
285,1177,19,77,77
286,1237,118,77,77
287,1298,216,77,77
288,1359,314,77,77
289,1419,412,77,77
290,1480,510,77,77
291,1541,608,77,77
292,1601,706,77,77
293,1662,805,77,77
294,1723,903,77,77
295,1783,1001,77,77
296,1844,1099,77,77
297,1905,1197,77,77
298,1965,1295,77,77
299,1292,16,77,77
300,1353,114,77,77
301,1413,212,77,77
302,1474,310,77,77
303,1535,409,77,77
304,1595,507,77,77
305,1656,605,77,77
306,1717,703,77,77
307,1777,801,77,77
308,1838,899,77,77
309,1899,997,77,77
310,1959,1096,77,77
311,1407,12,77,77
312,1468,111,77,77
313,1529,209,77,77
314,1589,307,77,77
315,1650,405,77,77
316,1711,503,77,77
317,1771,601,77,77
318,1832,700,77,77
319,1893,798,77,77
320,1953,896,77,77
321,1523,9,77,77
322,1583,107,77,77
323,1644,205,77,77
324,1705,303,77,77
325,1765,402,77,77
326,1826,500,77,77
327,1887,598,77,77
328,1947,696,77,77
329,1638,6,77,77
330,1699,104,77,77
331,1759,202,77,77
332,1820,300,77,77
333,1881,398,77,77
334,1941,496,77,77
335,1753,2,77,77
336,1814,100,77,77
337,1875,198,77,77
338,1935,297,77,77
339,1929,97,77,77
